title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Expression UKESM2,Model units
Variable aerosol.emibbdms.tavg-u-hxy-u.mon.GLB (AERmon.emibbdms),300,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/300,mon aerosol do-not-produce,emibbdms_tavg-u-hxy-u,tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_emission_from_fires,Not present,area: areacella,area: time: mean,Total emission rate of dimethyl sulfide (DMS) into the atmosphere from all biomass burning (natural and anthropogenic),longitude latitude time,mon,total emission of DMS from all biomass burning,aerosol,,,GLB,kg m-2 s-1,New,,,,,,
Variable aerosol.emibbco.tavg-u-hxy-u.mon.GLB (AERmon.emibbco),299,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/299,mon aerosol do-not-produce,emibbco_tavg-u-hxy-u,tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission_from_fires,Not present,area: areacella,area: time: mean,Total emission rate of carbon monoxide (CO) into the atmosphere from all biomass burning (natural and anthropogenic),longitude latitude time,mon,total emission rate of CO from all biomass burning,aerosol,,,GLB,kg m-2 s-1,New,,,,,,
Variable aerosol.emibbch4.tavg-u-hxy-u.mon.GLB (AERmon.emibbch4),298,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/298,mon aerosol do-not-produce,emibbch4_tavg-u-hxy-u,tendency_of_atmosphere_mass_content_of_methane_due_to_emission_from_fires,Not present,area: areacella,area: time: mean,Total emission rate of methane (CH4) into the atmosphere from all biomass burning (natural and anthropogenic),longitude latitude time,mon,total emission of CH4 from all biomass burning,aerosol,,,GLB,kg m-2 s-1,New,,,,,,
Variable aerosol.emibbbc.tavg-u-hxy-u.mon.GLB (AERmon.emibbbc),297,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/297,mon aerosol do-not-produce,emibbbc_tavg-u-hxy-u,tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_emission_from_fires,Not present,area: areacella,area: time: mean,Total emission rate of black carbon aerosol into the atmosphere from all biomass burning (natural and anthropogenic),longitude latitude time,mon,total emission rate of black carbon aerosol mass from all biomass burning,aerosol,,Vertical integral,GLB,kg m-2 s-1,New,,,,,,
Variable aerosol.dryno3.tavg-u-hxy-u.mon.GLB (AERmon.dryno3),284,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/284,mon aerosol do-not-produce,dryno3_tavg-u-hxy-u,tendency_of_atmosphere_mass_content_of_nitrate_dry_aerosol_due_to_dry_deposition,Not present,area: areacella,area: time: mean,Loss rate of nitrate (NO3) aerosol from the atmosphere due to dry deposition,longitude latitude time,mon,dry deposition of NO3 aerosol,aerosol,,,GLB,kg m-2 s-1,New,,,"achem_emdrywet(MOLECULAR_MASS_OF_NO3, m01s38i588[lbproc=128] + m01s38i589[lbproc=128] + m01s38i590[lbproc=128] + m01s38i591[lbproc=128], sumlev='True', areadiv='True')","achem_emdrywet(MOLECULAR_MASS_OF_NO3, m01s38i588[lbproc=128] + m01s38i589[lbproc=128] + m01s38i590[lbproc=128] + m01s38i591[lbproc=128], sumlev='True', areadiv='True')",,g m-2 s-1
Variable aerosol.conccn.tavg-al-hxy-u.mon.GLB (AERmon.conccn),275,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/275,mon aerosol approved,conccn_tavg-al-hxy-u,number_concentration_of_ambient_aerosol_particles_in_air,Not present,area: areacella,area: time: mean,This is the number concentration of air particles in air,longitude latitude alevel time,mon,Aerosol Number Concentration,aerosol,,,GLB,m-3,New,m01s38i504[lbproc=128]+m01s38i505[lbproc=128]+m01s38i506[lbproc=128]+m01s38i507[lbproc=128]+m01s38i508[lbproc=128],m01s38i504[lbproc=128]+m01s38i505[lbproc=128]+m01s38i506[lbproc=128]+m01s38i507[lbproc=128]+m01s38i508[lbproc=128],m01s38i504[lbproc=128]+m01s38i505[lbproc=128]+m01s38i506[lbproc=128]+m01s38i507[lbproc=128]+m01s38i508[lbproc=128],m01s38i504[lbproc=128]+m01s38i505[lbproc=128]+m01s38i506[lbproc=128]+m01s38i507[lbproc=128]+m01s38i508[lbproc=128],,m-3
Variable aerosol.cfc114.tavg-al-hxy-u.mon.GLB (AERmon.cfc114),259,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/259,mon aerosol do-not-produce,cfc114_tavg-al-hxy-u,mole_fraction_of_cfc114_in_air,Not present,area: areacella,area: time: mean,Mole fraction of cfc114 in air,longitude latitude alevel time,mon,Mole Fraction of CFC114,aerosol,,,GLB,mol mol-1,New,,,,,,
Variable aerosol.ccn1.tavg-al-hxy-u.mon.GLB (AERmon.ccn1),257,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/257,mon aerosol do-not-produce,ccn1_tavg-al-hxy-u,number_concentration_of_cloud_condensation_nuclei_assuming_reference_relative_humidity,Not present,area: areacella,area: time: mean,"This is the concentration of cloud condensation nuclei (CCN) at 1.0 percent supersaturation, based on aerosol chemical composition and size",longitude latitude alevel time hur101pct,mon,CCN concentration at 1.0 percent supersaturation,aerosol,,,GLB,m-3,New,,,,,,
Variable aerosol.ccnp02.tavg-al-hxy-u.mon.GLB (AERmon.ccn02),256,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/256,mon aerosol do-not-produce,ccnp02_tavg-al-hxy-u,number_concentration_of_cloud_condensation_nuclei_assuming_reference_relative_humidity,Not present,area: areacella,area: time: mean,"This is the concentration of cloud condensation nuclei (CCN) at 0.2% supersaturation, based on aerosol chemical composition and size",longitude latitude alevel time hur100p2pct,mon,CCN concentration at 0.2 percent supersaturation,aerosol,,,GLB,m-3,New,,,,,,
Variable aerosol.abs550ss.tavg-u-hxy-u.mon.GLB (AERmon.abs550ss),245,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/245,mon aerosol do-not-produce,abs550ss_tavg-u-hxy-u,atmosphere_absorption_optical_thickness_due_to_sea_salt_ambient_aerosol_particles,Not present,area: areacella,area: time: mean,This is the sea salt aerosol optical depth at 550nm due to absorption,longitude latitude time lambda550nm,mon,sea salt aaod@550nm,aerosol,,,GLB,1,New,,,,,,
