Model,Branded variable name,Frequency,STASH,Section,Item,time_profile,domain_profile,usage_profile,approved
HadGEM3-GC31,snw_tavg-u-hxy-lnd,day,m01s03i317,3,317,DTILE,UP6,False
HadGEM3-GC31,snw_tavg-u-hxy-lnd,day,m01s08i236,8,236,DTILE,UP6,False
UKESM1,snc_tavg-u-hxy-lnd,day,m01s03i317,3,317,DTILE,UP6,False
UKESM1,snc_tavg-u-hxy-lnd,day,m01s08i236,8,236,DTILE,UP6,False
HadGEM3-GC31,snc_tavg-u-hxy-lnd,day,m01s03i317,3,317,DTILE,UP6,False
HadGEM3-GC31,snc_tavg-u-hxy-lnd,day,m01s08i236,8,236,DTILE,UP6,False
UKESM1,sfcWind_tmax-h10m-hxy-u,day,m01s03i230,3,230,DIAG,UP6,True
UKESM1-3,sfcWind_tmax-h10m-hxy-u,day,m01s03i230,3,230,DIAG,UP6,True
HadGEM3-GC31,sfcWind_tmax-h10m-hxy-u,day,m01s03i230,3,230,DIAG,UP6,True
HadGEM3-GC5,sfcWind_tmax-h10m-hxy-u,day,m01s03i230,3,230,DIAG,UP6,True
UKESM1,sfcWind_tavg-h10m-hxy-u,day,m01s03i230,3,230,DIAG,UP6,True
UKESM1-3,sfcWind_tavg-h10m-hxy-u,day,m01s03i230,3,230,DIAG,UP6,True
HadGEM3-GC31,sfcWind_tavg-h10m-hxy-u,day,m01s03i230,3,230,DIAG,UP6,True
HadGEM3-GC5,sfcWind_tavg-h10m-hxy-u,day,m01s03i230,3,230,DIAG,UP6,True
UKESM1,rsus_tavg-u-hxy-u,day,m01s01i201,1,201,DIAG,UP6,True
UKESM1-3,rsus_tavg-u-hxy-u,day,m01s01i201,1,201,DIAG,UP6,True
UKESM1,rsus_tavg-u-hxy-u,day,m01s01i235,1,235,DIAG,UP6,True
UKESM1-3,rsus_tavg-u-hxy-u,day,m01s01i235,1,235,DIAG,UP6,True
HadGEM3-GC31,rsus_tavg-u-hxy-u,day,m01s01i201,1,201,DIAG,UP6,True
HadGEM3-GC5,rsus_tavg-u-hxy-u,day,m01s01i201,1,201,DIAG,UP6,True
HadGEM3-GC31,rsus_tavg-u-hxy-u,day,m01s01i235,1,235,DIAG,UP6,True
HadGEM3-GC5,rsus_tavg-u-hxy-u,day,m01s01i235,1,235,DIAG,UP6,True
UKESM1,rsds_tavg-u-hxy-u,day,m01s01i235,1,235,DIAG,UP6,True
UKESM1-3,rsds_tavg-u-hxy-u,day,m01s01i235,1,235,DIAG,UP6,True
HadGEM3-GC31,rsds_tavg-u-hxy-u,day,m01s01i235,1,235,DIAG,UP6,True
HadGEM3-GC5,rsds_tavg-u-hxy-u,day,m01s01i235,1,235,DIAG,UP6,True
UKESM1,rlut_tavg-u-hxy-u,day,m01s03i332,3,332,DIAG,UP6,True
UKESM1-3,rlut_tavg-u-hxy-u,day,m01s03i332,3,332,DIAG,UP6,True
HadGEM3-GC31,rlut_tavg-u-hxy-u,day,m01s03i332,3,332,DIAG,UP6,True
HadGEM3-GC5,rlut_tavg-u-hxy-u,day,m01s03i332,3,332,DIAG,UP6,True
UKESM1,rlus_tavg-u-hxy-u,day,m01s02i201,2,201,DIAG,UP6,True
UKESM1-3,rlus_tavg-u-hxy-u,day,m01s02i201,2,201,DIAG,UP6,True
UKESM1,rlus_tavg-u-hxy-u,day,m01s02i205,2,205,DIAG,UP6,True
UKESM1-3,rlus_tavg-u-hxy-u,day,m01s02i205,2,205,DIAG,UP6,True
UKESM1,rlus_tavg-u-hxy-u,day,m01s02i207,2,207,DIAG,UP6,True
UKESM1-3,rlus_tavg-u-hxy-u,day,m01s02i207,2,207,DIAG,UP6,True
UKESM1,rlus_tavg-u-hxy-u,day,m01s03i332,3,332,DIAG,UP6,True
UKESM1-3,rlus_tavg-u-hxy-u,day,m01s03i332,3,332,DIAG,UP6,True
HadGEM3-GC31,rlus_tavg-u-hxy-u,day,m01s02i201,2,201,DIAG,UP6,True
HadGEM3-GC5,rlus_tavg-u-hxy-u,day,m01s02i201,2,201,DIAG,UP6,True
HadGEM3-GC31,rlus_tavg-u-hxy-u,day,m01s02i205,2,205,DIAG,UP6,True
HadGEM3-GC5,rlus_tavg-u-hxy-u,day,m01s02i205,2,205,DIAG,UP6,True
HadGEM3-GC31,rlus_tavg-u-hxy-u,day,m01s02i207,2,207,DIAG,UP6,True
HadGEM3-GC5,rlus_tavg-u-hxy-u,day,m01s02i207,2,207,DIAG,UP6,True
HadGEM3-GC31,rlus_tavg-u-hxy-u,day,m01s03i332,3,332,DIAG,UP6,True
HadGEM3-GC5,rlus_tavg-u-hxy-u,day,m01s03i332,3,332,DIAG,UP6,True
UKESM1,rlds_tavg-u-hxy-u,day,m01s02i207,2,207,DIAG,UP6,True
UKESM1-3,rlds_tavg-u-hxy-u,day,m01s02i207,2,207,DIAG,UP6,True
HadGEM3-GC31,rlds_tavg-u-hxy-u,day,m01s02i207,2,207,DIAG,UP6,True
HadGEM3-GC5,rlds_tavg-u-hxy-u,day,m01s02i207,2,207,DIAG,UP6,True
UKESM1,psl_tavg-u-hxy-u,day,m01s16i222,16,222,DIAG,UP6,True
UKESM1-3,psl_tavg-u-hxy-u,day,m01s16i222,16,222,DIAG,UP6,True
HadGEM3-GC31,psl_tavg-u-hxy-u,day,m01s16i222,16,222,DIAG,UP6,True
HadGEM3-GC5,psl_tavg-u-hxy-u,day,m01s16i222,16,222,DIAG,UP6,True
UKESM1,prsn_tavg-u-hxy-u,day,m01s05i215,5,215,DIAG,UP6,True
UKESM1-3,prsn_tavg-u-hxy-u,day,m01s05i215,5,215,DIAG,UP6,True
HadGEM3-GC31,prsn_tavg-u-hxy-u,day,m01s05i215,5,215,DIAG,UP6,True
HadGEM3-GC5,prsn_tavg-u-hxy-u,day,m01s05i215,5,215,DIAG,UP6,True
UKESM1,prc_tavg-u-hxy-u,day,m01s05i205,5,205,DIAG,UP6,True
UKESM1-3,prc_tavg-u-hxy-u,day,m01s05i205,5,205,DIAG,UP6,True
UKESM1,prc_tavg-u-hxy-u,day,m01s05i206,5,206,DIAG,UP6,True
UKESM1-3,prc_tavg-u-hxy-u,day,m01s05i206,5,206,DIAG,UP6,True
HadGEM3-GC31,prc_tavg-u-hxy-u,day,m01s05i205,5,205,DIAG,UP6,True
HadGEM3-GC5,prc_tavg-u-hxy-u,day,m01s05i205,5,205,DIAG,UP6,True
HadGEM3-GC31,prc_tavg-u-hxy-u,day,m01s05i206,5,206,DIAG,UP6,True
HadGEM3-GC5,prc_tavg-u-hxy-u,day,m01s05i206,5,206,DIAG,UP6,True
UKESM1,pr_tavg-u-hxy-u,day,m01s05i216,5,216,DIAG,UP6,True
UKESM1-3,pr_tavg-u-hxy-u,day,m01s05i216,5,216,DIAG,UP6,True
HadGEM3-GC31,pr_tavg-u-hxy-u,day,m01s05i216,5,216,DIAG,UP6,True
HadGEM3-GC5,pr_tavg-u-hxy-u,day,m01s05i216,5,216,DIAG,UP6,True
UKESM1,mrsol_tavg-d10cm-hxy-lnd,day,m01s08i223,8,223,DSOIL,UP6,True
UKESM1-3,mrsol_tavg-d10cm-hxy-lnd,day,m01s08i223,8,223,DSOIL,UP6,True
HadGEM3-GC31,mrsol_tavg-d10cm-hxy-lnd,day,m01s08i223,8,223,DSOIL,UP6,True
HadGEM3-GC5,mrsol_tavg-d10cm-hxy-lnd,day,m01s08i223,8,223,DSOIL,UP6,True
UKESM1,mrso_tavg-u-hxy-lnd,day,m01s08i223,8,223,DSOIL,UP6,True
UKESM1-3,mrso_tavg-u-hxy-lnd,day,m01s08i223,8,223,DSOIL,UP6,True
UKESM1,mrso_tavg-u-hxy-lnd,day,m01s08i229,8,229,DSOIL,UP6,True
UKESM1-3,mrso_tavg-u-hxy-lnd,day,m01s08i229,8,229,DSOIL,UP6,True
UKESM1,mrso_tavg-u-hxy-lnd,day,m01s08i230,8,230,DSOIL,UP6,True
UKESM1-3,mrso_tavg-u-hxy-lnd,day,m01s08i230,8,230,DSOIL,UP6,True
HadGEM3-GC31,mrso_tavg-u-hxy-lnd,day,m01s08i223,8,223,DSOIL,UP6,True
HadGEM3-GC5,mrso_tavg-u-hxy-lnd,day,m01s08i223,8,223,DSOIL,UP6,True
HadGEM3-GC31,mrso_tavg-u-hxy-lnd,day,m01s08i229,8,229,DSOIL,UP6,True
HadGEM3-GC5,mrso_tavg-u-hxy-lnd,day,m01s08i229,8,229,DSOIL,UP6,True
HadGEM3-GC31,mrso_tavg-u-hxy-lnd,day,m01s08i230,8,230,DSOIL,UP6,True
HadGEM3-GC5,mrso_tavg-u-hxy-lnd,day,m01s08i230,8,230,DSOIL,UP6,True
UKESM1,mrro_tavg-u-hxy-lnd,day,m01s08i234,8,234,DIAG,UP6,True
UKESM1-3,mrro_tavg-u-hxy-lnd,day,m01s08i234,8,234,DIAG,UP6,True
UKESM1,mrro_tavg-u-hxy-lnd,day,m01s08i235,8,235,DIAG,UP6,True
UKESM1-3,mrro_tavg-u-hxy-lnd,day,m01s08i235,8,235,DIAG,UP6,True
HadGEM3-GC31,mrro_tavg-u-hxy-lnd,day,m01s08i234,8,234,DIAG,UP6,True
HadGEM3-GC5,mrro_tavg-u-hxy-lnd,day,m01s08i234,8,234,DIAG,UP6,True
HadGEM3-GC31,mrro_tavg-u-hxy-lnd,day,m01s08i235,8,235,DIAG,UP6,True
